NPM Package Name,Package Version (April),Package Version (February),License,Repository
wrench, 1.5.8, ----, ----, https://ryanmcgrath@github.com/ryanmcgrath/wrench-js.git
consolidate, 0.10.0, 0.10.0, ----, https://github.com/visionmedia/consolidate.js.git
dustjs-helpers, 1.2.0, 1.2.0, MIT, https://github.com/linkedin/dustjs-helpers.git
dustjs-linkedin, 2.3.6, 2.3.6, MIT, https://github.com/linkedin/dustjs.git
express, 4.12.3, 3.4.7, MIT, https://github.com/strongloop/express
nconf, 0.7.1, 0.7.1, ----, http://github.com/flatiron/nconf.git
node-dir, 0.1.6, ----, ----, https://github.com/fshost/node-dir
moment, 2.9.0, ----, ----, https://github.com/moment/moment.git
request, 2.54.0, 2.53.0, Apache-2.0, https://github.com/request/request.git
jsonfile, 2.0.0, ----, ----, git@github.com:jprichardson/node-jsonfile.git
util, 0.10.3, 0.10.3, MIT, git://github.com/defunctzombie/node-util
string, 3.1.1, 3.0.0, ----, https://github.com/jprichardson/string.js
connect, 1.9.2, 2.12.0, ----, git://github.com/senchalabs/connect
commander, 2.7.1, 1.3.2, MIT, https://github.com/tj/commander.js.git
qs, 2.4.1, 2.3.3, ----, https://github.com/hapijs/qs.git
formidable, 1.0.14, ----, ----, git://github.com/felixge/node-formidable.git
ms, 0.7.0, 0.7.0, ----, git://github.com/guille/ms.js.git
async, 0.9.0, 0.9.0, ----, https://github.com/caolan/async.git
ini, 1.3.3, 1.3.3, ISC, git://github.com/isaacs/ini.git
optimist, 0.6.1, 0.6.1, MIT/X11, http://github.com/substack/node-optimist.git
wordwrap, 0.0.2, 0.0.2, MIT/X11, git://github.com/substack/node-wordwrap.git
minimist, 0.0.10, 0.0.10, MIT, git://github.com/substack/minimist.git
bl, 0.9.4, 0.9.4, MIT, https://github.com/rvagg/bl.git
caseless, 0.9.0, 0.9.0, BSD, https://github.com/mikeal/caseless
forever-agent, 0.6.0, 0.5.2, Apache-2.0, https://github.com/mikeal/forever-agent
form-data, 0.2.0, 0.2.0, ----, git://github.com/felixge/node-form-data.git
json-stringify-safe, 5.0.0, 5.0.0, BSD, git://github.com/isaacs/json-stringify-safe
mime-types, 2.0.10, 2.0.9, MIT, https://github.com/jshttp/mime-types
node-uuid, 1.4.3, 1.4.2, ----, https://github.com/broofa/node-uuid.git
tunnel-agent, 0.4.0, 0.4.0, ----, https://github.com/mikeal/tunnel-agent
tough-cookie, 0.12.1, 0.12.1, MIT, git://github.com/goinstant/tough-cookie.git
http-signature, 0.10.1, 0.10.1, MIT, git://github.com/joyent/node-http-signature.git
oauth-sign, 0.6.0, 0.6.0, ----, https://github.com/mikeal/oauth-sign
hawk, 2.3.1, 2.3.1, ----, git://github.com/hueniverse/hawk
aws-sign2, 0.5.0, 0.5.0, ----, https://github.com/mikeal/aws-sign
stringstream, 0.0.4, 0.0.4, MIT, https://github.com/mhart/StringStream.git
combined-stream, 0.0.7, 0.0.7, ----, git://github.com/felixge/node-combined-stream.git
isstream, 0.1.2, 0.1.1, MIT, https://github.com/rvagg/isstream.git
har-validator, 1.5.1, 1.6.1, MIT, https://github.com/ahmadnassri/har-validator
readable-stream, 1.0.33, 1.0.33, MIT, git://github.com/isaacs/readable-stream
core-util-is, 1.0.1, 1.0.1, MIT, git://github.com/isaacs/core-util-is
isarray, 0.0.1, 0.0.1, MIT, git://github.com/juliangruber/isarray.git
string_decoder, 0.10.31, 0.10.31, MIT, git://github.com/rvagg/string_decoder.git
inherits, 2.0.1, 2.0.1, ISC, git://github.com/isaacs/inherits
